INFO:root:File download successful
INFO:root:Folder already exists
INFO:root:File moved to target folder:C:\Users\Arijit Ganguly\Documents\PythonProjects\stock_analysis\data\01102020\sec_bhavdata_full_01102020.csv
INFO:root:File download successful
INFO:root:Folder already exists
INFO:root:File moved to target folder:C:\Users\Arijit Ganguly\Documents\PythonProjects\stock_analysis\data\01102020\sec_bhavdata_full_01102020.csv
INFO:root:Create record 0 :Symbol-20MICRONS, Date-2020-10-01, Series-EQ
INFO:root:Create record 1 :Symbol-21STCENMGM, Date-2020-10-01, Series-EQ
INFO:root:Create record 2 :Symbol-3IINFOTECH, Date-2020-10-01, Series-EQ
INFO:root:Create record 3 :Symbol-3MINDIA, Date-2020-10-01, Series-EQ
INFO:root:Create record 4 :Symbol-5PAISA, Date-2020-10-01, Series-BE
INFO:root:Create record 5 :Symbol-63MOONS, Date-2020-10-01, Series-EQ
INFO:root:Create record 6 :Symbol-716GS2050, Date-2020-10-01, Series-GS
INFO:root:Create record 7 :Symbol-737GS2023, Date-2020-10-01, Series-GS
INFO:root:Create record 8 :Symbol-74GS2035, Date-2020-10-01, Series-GS
INFO:root:Create record 9 :Symbol-757GS2033, Date-2020-10-01, Series-GS
INFO:root:Create record 10 :Symbol-769GS2043, Date-2020-10-01, Series-GS
INFO:root:Create record 11 :Symbol-8KMILES, Date-2020-10-01, Series-BE
INFO:root:Create record 12 :Symbol-A2ZINFRA, Date-2020-10-01, Series-EQ
INFO:root:Create record 13 :Symbol-AAKASH, Date-2020-10-01, Series-EQ
INFO:root:Create record 14 :Symbol-AARON, Date-2020-10-01, Series-SM
INFO:root:Create record 15 :Symbol-AARTIDRUGS, Date-2020-10-01, Series-EQ
INFO:root:Create record 16 :Symbol-AARTIIND, Date-2020-10-01, Series-EQ
INFO:root:Create record 17 :Symbol-AARTISURF, Date-2020-10-01, Series-BE
INFO:root:Create record 18 :Symbol-AARVEEDEN, Date-2020-10-01, Series-EQ
INFO:root:Create record 19 :Symbol-AARVI, Date-2020-10-01, Series-EQ
INFO:root:Create record 20 :Symbol-AAVAS, Date-2020-10-01, Series-EQ
INFO:root:Create record 21 :Symbol-ABAN, Date-2020-10-01, Series-EQ
INFO:root:Create record 22 :Symbol-ABB, Date-2020-10-01, Series-EQ
INFO:root:Create record 23 :Symbol-ABBOTINDIA, Date-2020-10-01, Series-EQ
INFO:root:Create record 24 :Symbol-ABCAPITAL, Date-2020-10-01, Series-EQ
INFO:root:Create record 25 :Symbol-ABFRL, Date-2020-10-01, Series-EQ
INFO:root:Create record 26 :Symbol-ABFRLPP, Date-2020-10-01, Series-E1
INFO:root:Create record 27 :Symbol-ABMINTLTD, Date-2020-10-01, Series-BE
INFO:root:Create record 28 :Symbol-ABSLBANETF, Date-2020-10-01, Series-EQ
INFO:root:Create record 29 :Symbol-ABSLNN50ET, Date-2020-10-01, Series-EQ
INFO:root:Create record 30 :Symbol-ABSLRIF6RG, Date-2020-10-01, Series-MF
INFO:root:Create record 31 :Symbol-ACC, Date-2020-10-01, Series-EQ
INFO:root:Create record 32 :Symbol-ACCELYA, Date-2020-10-01, Series-EQ
INFO:root:Create record 33 :Symbol-ACCURACY, Date-2020-10-01, Series-SM
INFO:root:Create record 34 :Symbol-ACE, Date-2020-10-01, Series-EQ
INFO:root:Create record 35 :Symbol-ADANIENT, Date-2020-10-01, Series-EQ
INFO:root:Create record 36 :Symbol-ADANIGAS, Date-2020-10-01, Series-EQ
INFO:root:Create record 37 :Symbol-ADANIGREEN, Date-2020-10-01, Series-EQ
INFO:root:Create record 38 :Symbol-ADANIPORTS, Date-2020-10-01, Series-EQ
INFO:root:Create record 39 :Symbol-ADANIPOWER, Date-2020-10-01, Series-EQ
INFO:root:Create record 40 :Symbol-ADANITRANS, Date-2020-10-01, Series-EQ
INFO:root:Create record 41 :Symbol-ADFFOODS, Date-2020-10-01, Series-EQ
INFO:root:Create record 42 :Symbol-ADHUNIKIND, Date-2020-10-01, Series-EQ
INFO:root:Create record 43 :Symbol-ADL, Date-2020-10-01, Series-BE
INFO:root:Create record 44 :Symbol-ADORWELD, Date-2020-10-01, Series-EQ
INFO:root:Create record 45 :Symbol-ADROITINFO, Date-2020-10-01, Series-EQ
INFO:root:Create record 46 :Symbol-ADSL, Date-2020-10-01, Series-EQ
INFO:root:Create record 47 :Symbol-ADVANIHOTR, Date-2020-10-01, Series-EQ
INFO:root:Create record 48 :Symbol-ADVENZYMES, Date-2020-10-01, Series-EQ
INFO:root:Create record 49 :Symbol-AEGISCHEM, Date-2020-10-01, Series-EQ
INFO:root:Create record 50 :Symbol-AFFLE, Date-2020-10-01, Series-EQ
INFO:root:Create record 51 :Symbol-AGARIND, Date-2020-10-01, Series-EQ
INFO:root:Create record 52 :Symbol-AGCNET, Date-2020-10-01, Series-EQ
INFO:root:Create record 53 :Symbol-AGRITECH, Date-2020-10-01, Series-EQ
INFO:root:Create record 54 :Symbol-AGROPHOS, Date-2020-10-01, Series-EQ
INFO:root:Create record 55 :Symbol-AHLADA, Date-2020-10-01, Series-SM
INFO:root:Create record 56 :Symbol-AHLEAST, Date-2020-10-01, Series-EQ
INFO:root:Create record 57 :Symbol-AHLUCONT, Date-2020-10-01, Series-EQ
INFO:root:Create record 58 :Symbol-AHLWEST, Date-2020-10-01, Series-EQ
INFO:root:Create record 59 :Symbol-AIAENG, Date-2020-10-01, Series-EQ
INFO:root:Create record 60 :Symbol-AIONJSW, Date-2020-10-01, Series-EQ
INFO:root:Create record 61 :Symbol-AIRAN, Date-2020-10-01, Series-EQ
INFO:root:Create record 62 :Symbol-AJANTPHARM, Date-2020-10-01, Series-EQ
INFO:root:Create record 63 :Symbol-AJMERA, Date-2020-10-01, Series-EQ
INFO:root:Create record 64 :Symbol-AJOONI, Date-2020-10-01, Series-SM
INFO:root:Create record 65 :Symbol-AKASH, Date-2020-10-01, Series-BE
INFO:root:Create record 66 :Symbol-AKG, Date-2020-10-01, Series-SM
INFO:root:Create record 67 :Symbol-AKSHARCHEM, Date-2020-10-01, Series-EQ
INFO:root:Create record 68 :Symbol-AKSHOPTFBR, Date-2020-10-01, Series-EQ
INFO:root:Create record 69 :Symbol-AKZOINDIA, Date-2020-10-01, Series-EQ
INFO:root:Create record 70 :Symbol-ALANKIT, Date-2020-10-01, Series-EQ
INFO:root:Create record 71 :Symbol-ALBERTDAVD, Date-2020-10-01, Series-EQ
INFO:root:Create record 72 :Symbol-ALCHEM, Date-2020-10-01, Series-EQ
INFO:root:Create record 73 :Symbol-ALEMBICLTD, Date-2020-10-01, Series-EQ
INFO:root:Create record 74 :Symbol-ALICON, Date-2020-10-01, Series-EQ
INFO:root:Create record 75 :Symbol-ALKALI, Date-2020-10-01, Series-EQ
INFO:root:Create record 76 :Symbol-ALKEM, Date-2020-10-01, Series-EQ
INFO:root:Create record 77 :Symbol-ALKYLAMINE, Date-2020-10-01, Series-EQ
